name,overall,height_cm,weight_kg,Age,years_pro,position,APY,sport
Hugo Lloris,83,188,82,36,,GK,2808000.0,FIFA
Marcelo Grohe,79,188,80,36,,GK,1144000.0,FIFA
Vladimir Stojković,71,193,93,39,,GK,364000.0,FIFA
Hugo Rodallega Martínez,73,181,75,37,,ST,156000.0,FIFA
José Carlos Gonçalves Rodrigues,73,182,67,34,,"CDM, CM",36400.0,FIFA
Ivan Rakitić,81,184,78,35,,"CM, CDM",1404000.0,FIFA
Rémy Riou,69,189,81,35,,GK,364000.0,FIFA
Kenneth Vermeer,64,181,78,37,,GK,52000.0,FIFA
Andreas Ulmer,72,175,71,37,,LB,468000.0,FIFA
Carlos Alberto Vela Garrido,80,177,77,34,,"RW, LW, ST",676000.0,FIFA
Rostyn John Griffiths,65,187,86,35,,"CB, CDM",33800.0,FIFA
Jonathan Grant Evans,75,188,77,35,,CB,2808000.0,FIFA
Darren Randolph,72,188,78,36,,GK,780000.0,FIFA
Jack Cork,73,184,75,34,,"CDM, CM",1716000.0,FIFA
Jay Rodriguez,73,185,84,33,,ST,2028000.0,FIFA
André Filipe Alves Monteiro,66,176,70,35,,"RM, LM",104000.0,FIFA
Wayne Robert Hennessey,73,198,90,36,,GK,1144000.0,FIFA
Lorenzo De Silvestri,73,186,84,35,,"RB, RWB, RM",832000.0,FIFA
Erik Lamela,80,181,79,31,,"RW, CAM",1872000.0,FIFA
Tim Krul,73,188,74,35,,GK,884000.0,FIFA
Simone Aresti,65,188,78,37,,GK,156000.0,FIFA
Raúl García Escudero,77,184,83,36,,"ST, CAM",1144000.0,FIFA
José Miguel da Rocha Fonte,78,191,81,39,,CB,520000.0,FIFA
José Andrés Guardado Hernández,76,169,67,36,,CDM,780000.0,FIFA
Jonathan Ramón Maidana,71,185,86,37,,CB,416000.0,FIFA
Lasse Schøne,73,178,78,37,,"CM, CDM",416000.0,FIFA
Fraser Forster,76,201,93,35,,GK,1664000.0,FIFA
Joona Marko Aleksi Toivio,63,186,87,35,,CB,26000.0,FIFA
Perparim Hetemaj,66,179,76,36,,CM,26000.0,FIFA
Daniel Wass,76,181,74,34,,"RB, CM",780000.0,FIFA
Brian Tømming Hämäläinen,63,176,81,34,,"CB, LWB",104000.0,FIFA
Jonas Bybjerg Lössl,72,195,89,34,,GK,780000.0,FIFA
José Ángel Crespo Rincón,70,185,78,36,,"CB, RB, LB",26000.0,FIFA
Marco Mancosu,73,177,75,34,,"CAM, CF",1040000.0,FIFA
Niklas Moisander,72,183,77,37,,CB,260000.0,FIFA
Jan Bert Lieve Vertonghen,79,189,89,36,,CB,1040000.0,FIFA
Óscar Guido Trejo,78,180,79,35,,CAM,884000.0,FIFA
Benito Nicolas Viola,71,180,77,33,,"CM, CDM, CAM",832000.0,FIFA
Antonio Candreva,79,180,70,36,,"CF, RM, CM",1664000.0,FIFA
Sergio Germán Romero,78,192,88,36,,GK,572000.0,FIFA
Marco Knaller,64,192,86,36,,GK,52000.0,FIFA
Simon Luc Hildebert Mignolet,80,193,87,35,,GK,728000.0,FIFA
Iván Marcano Sierra,77,190,78,36,,CB,520000.0,FIFA
James Tomkins,72,192,74,34,,CB,1300000.0,FIFA
José Luis Mato Sanmartín,82,192,80,33,,ST,988000.0,FIFA
Mariano Gonzalo Andújar,73,194,86,39,,GK,312000.0,FIFA
Gonzalo Castro Irizábal,71,178,80,38,,"LM, LW, CAM",26000.0,FIFA
Cristian Miguel Riveros Núñez,67,178,77,40,,"CM, CDM",26000.0,FIFA
Claudio Andrés Bravo Muñoz,80,184,80,40,,GK,676000.0,FIFA
Lewis Stevenson,65,170,67,35,,"LB, CB",104000.0,FIFA
Juan Carlos Arce Justiniano,65,176,62,38,,"CAM, LM, RM",26000.0,FIFA
António Manuel Fernandes Mendes,70,186,82,30,,"ST, CF",41600.0,FIFA
Vadis Odjidja-Ofoe,74,185,79,34,,"CM, CAM",52000.0,FIFA
Ritchie Ria Alfons De Laet,72,184,83,34,,"RB, LB, CB",988000.0,FIFA
Dries Mertens,81,169,61,36,,"CF, CAM",2288000.0,FIFA
Sven Kums,73,176,73,35,,CM,728000.0,FIFA
Kaiansu Kei Kamara,70,191,86,38,,ST,208000.0,FIFA
Dax McCarty,70,175,68,36,,"CDM, CM",156000.0,FIFA
Przemysław Tytoń,66,195,88,36,,GK,104000.0,FIFA
Alessio Bottani,69,170,64,32,,"CAM, ST",260000.0,FIFA
최철순 崔喆淳,60,175,68,36,,"RB, LB",52000.0,FIFA
염기훈 廉基勋,57,182,80,40,,"CM, LW, ST",31200.0,FIFA
이근호 李根镐,60,176,74,38,,"ST, LM, CAM",52000.0,FIFA
Dmytro Chyhrynskyi,70,189,85,36,,CB,26000.0,FIFA
Leonardo Fabián Burián Castro,70,188,81,39,,GK,208000.0,FIFA
Christian Camilo Marrugo Rodríguez,69,175,75,37,,"CAM, CM",52000.0,FIFA
David Ospina Ramírez,80,183,80,34,,GK,1872000.0,FIFA
Kévin Gameiro,76,172,69,36,,ST,988000.0,FIFA
Bengt Erik Marcus Berg,70,184,79,36,,ST,156000.0,FIFA
Alexandre Roger Oukidja,73,184,80,34,,GK,624000.0,FIFA
Miguel Ángel Torrén,74,176,71,34,,CB,624000.0,FIFA
Marcelo Alfonso Díaz Rojas,72,166,64,36,,"CDM, CM",104000.0,FIFA
Marouane Fellaini-Bakkioui,73,194,85,35,,"CM, CDM, ST",676000.0,FIFA
Luka Modrić,87,172,66,37,,CM,9880000.0,FIFA
Fabian Lustenberger,70,182,73,35,,CB,416000.0,FIFA
Ruben Yttergård Jenssen,66,173,71,35,,"CM, CDM",52000.0,FIFA
Adrián José Gabbarini,66,182,79,37,,GK,26000.0,FIFA
Pierluigi Frattali,65,185,79,37,,GK,104000.0,FIFA
Axel Laurent Angel Lambert Witsel,79,186,81,34,,"CDM, CB, CM",2652000.0,FIFA
Gustav Svensson,69,184,77,36,,"CDM, CM, CB",104000.0,FIFA
Tobias Sippel,70,183,80,35,,GK,364000.0,FIFA
Adelino André Vieira de Freitas,69,172,73,37,,"LB, RB, CB",26000.0,FIFA
Jonathan de Guzmán,69,173,70,35,,"CM, CDM",208000.0,FIFA
Yann Sommer,84,183,79,34,,GK,4368000.0,FIFA
Simone Damiano Grippo,66,188,82,34,,CB,156000.0,FIFA
Artur Jędrzejczyk,70,189,86,35,,CB,208000.0,FIFA
Kamil Grosicki,73,180,78,35,,LM,312000.0,FIFA
Cristian Eduardo Zapata Valencia,71,188,78,36,,CB,156000.0,FIFA
Rui Pedro dos Santos Patrício,81,190,84,35,,GK,1872000.0,FIFA
Antonio Adán Garrido,80,190,94,36,,GK,468000.0,FIFA
David Joel Williams,64,174,72,35,,"ST, LM",52000.0,FIFA
Etienne Capoue,81,190,80,34,,"CM, CDM",2184000.0,FIFA
Javier Hernández Balcázar,77,175,73,35,,ST,416000.0,FIFA
Scott Harry Nathaniel Arfield,69,179,80,34,,"CM, CAM",208000.0,FIFA
Olivier Giroud,82,193,91,36,,ST,3432000.0,FIFA
Éver Maximiliano David Banega,79,176,78,35,,"CM, CDM, CAM",1612000.0,FIFA
Javier Hernán García,73,182,78,36,,GK,416000.0,FIFA
Mats Hummels,83,191,94,34,,CB,3120000.0,FIFA
Fernando Lopes dos Santos Varela,69,183,83,35,,CB,156000.0,FIFA
Adam Marciniak,63,186,78,34,,CB,52000.0,FIFA
Amin Mimoun Nouri,62,180,77,33,,RWB,44200.0,FIFA
Vito Mannone,72,189,77,35,,GK,572000.0,FIFA
Ola Williams Kamara,67,185,81,33,,ST,156000.0,FIFA
Anders Kristiansen,63,183,74,33,,GK,44200.0,FIFA
Søren Krukow Rieks,66,185,76,36,,LM,104000.0,FIFA
Simon Thorup Kjær,81,190,86,34,,CB,3536000.0,FIFA
Oscar René Cardozo Marín,71,193,87,40,,ST,28600.0,FIFA
Emiliano Gabriel Vecchio,74,177,84,34,,"CAM, CM",884000.0,FIFA
Damien Da Silva,72,184,83,35,,CB,260000.0,FIFA
Edinson Roberto Cavani Gómez,79,185,77,36,,ST,1040000.0,FIFA
Federico Julián Fazio,71,195,85,36,,CB,676000.0,FIFA
Ari Freyr Skúlason,66,171,64,36,,"CDM, LB, CM",104000.0,FIFA
Oliver Bozanić,65,179,75,34,,"CAM, CM, CDM",156000.0,FIFA
Edgar Bruno da Silva,72,191,87,36,,"ST, LW, RW",312000.0,FIFA
Björn Kopplin,69,184,80,34,,"LB, RB",364000.0,FIFA
Séamus Coleman,75,177,77,34,,"RB, RWB",1716000.0,FIFA
기성용 寄诚庸,73,189,75,34,,"CM, CDM",416000.0,FIFA
Marcelo Antônio Guedes Filho,72,191,85,36,,CB,260000.0,FIFA
Ronan Michael Finn,59,183,76,35,,RWB,26000.0,FIFA
Willian Borges da Silva,77,175,77,34,,"LM, RM",3692000.0,FIFA
Craig George Cathcart,69,190,83,34,,CB,364000.0,FIFA
Adam David Lallana,76,178,73,35,,"CAM, CM, CDM",2548000.0,FIFA
Radim Řezník,71,183,79,34,,"RB, CB",33800.0,FIFA
James O'Shea,70,183,70,34,,"CM, CAM",208000.0,FIFA
Edin Džeko,83,193,80,37,,ST,2236000.0,FIFA
Leigh Michael Broxham,63,170,65,35,,"CB, CDM, LB",52000.0,FIFA
長谷 部誠,73,180,72,39,,"CB, CDM",884000.0,FIFA
Georginio Gregion Emile Wijnaldum,80,175,74,32,,"CM, CDM",2028000.0,FIFA
Pierre Thomas Robin Bengtsson,63,177,74,35,,LB,52000.0,FIFA
Marcelo Moreno Martins,70,188,93,36,,ST,26000.0,FIFA
Larrys Mabiala Destin,67,189,84,35,,CB,104000.0,FIFA
Damien Marcq,68,183,77,34,,"CB, CDM, CM",312000.0,FIFA
Ivan Perišić,79,186,80,34,,"LW, LWB",4680000.0,FIFA
Daniel Vuković,66,187,95,38,,GK,33800.0,FIFA
Gary Richard Deegan,58,176,75,35,,CDM,26000.0,FIFA
Andreas Lukse,64,187,83,35,,GK,52000.0,FIFA
朱挺,58,183,70,37,,"RB, RM, RW",52000.0,FIFA
闫相闯,63,175,70,36,,ST,104000.0,FIFA
Andrés Lorenzo Ríos,64,178,78,33,,"ST, CAM, CM",208000.0,FIFA
吴龑,65,191,85,34,,GK,104000.0,FIFA
刘震理,56,194,97,38,,GK,52000.0,FIFA
Kosta Barbarouses,62,171,68,33,,"CAM, ST, RW",52000.0,FIFA
郑龙,61,178,71,35,,"LM, RM, CAM",104000.0,FIFA
姜宁,56,174,74,36,,"CM, CDM",104000.0,FIFA
구자철 具滋哲,64,183,74,34,,"CM, CAM",104000.0,FIFA
Gregory Bolger,61,180,73,34,,CDM,26000.0,FIFA
Erling Knudtzon,65,178,70,34,,RWB,104000.0,FIFA
Mark Beevers,68,193,80,33,,CB,104000.0,FIFA
王大雷,71,185,75,34,,GK,520000.0,FIFA
张呈栋,65,185,76,34,,"CB, RB",260000.0,FIFA
汉超于,64,179,71,36,,"LM, RM",156000.0,FIFA
程月磊,61,190,85,35,,GK,52000.0,FIFA
张翀,59,190,90,35,,GK,44200.0,FIFA
Néstor Fernando Muslera Micol,80,190,74,37,,GK,1248000.0,FIFA
José Martín Cáceres Silva,71,181,78,36,,"CB, RB, RM",208000.0,FIFA
Toni Kroos,86,183,76,33,,"CM, CDM",12480000.0,FIFA
Rúben Tiago Rodrigues Ribeiro,69,175,67,35,,"CM, CAM",156000.0,FIFA
Mahmut Tekdemir,70,178,68,35,,"CDM, CM",468000.0,FIFA
Adam Richard Legzdins,64,190,90,36,,GK,49400.0,FIFA
Walter Alejandro Gargano Guevara,70,167,73,38,,"CDM, CM",26000.0,FIFA
Diego Daniel Vera Méndez,66,184,72,38,,ST,26000.0,FIFA
Carlos Alberto Sánchez Moreno,71,182,82,37,,"CDM, CM, CB",312000.0,FIFA
Sébastien Bruzzese,65,185,80,34,,GK,156000.0,FIFA
Max-Alain Gradel,74,175,70,35,,"LM, LW",520000.0,FIFA
韩锋,56,187,80,39,,GK,36400.0,FIFA
Noureddine Amrabat,76,179,87,36,,"RM, RW, LM",52000.0,FIFA
Andrew James Redmayne,64,194,83,34,,GK,104000.0,FIFA
Mamadou Sakho,73,187,83,33,,CB,884000.0,FIFA
Jo Inge Berget,67,186,81,32,,"RM, ST, LM",104000.0,FIFA
Fabian Frei,71,183,80,34,,"CDM, CB",468000.0,FIFA
Víctor David Díaz Miguel,75,184,72,35,,"CB, RB, CDM",676000.0,FIFA
Moussa Sissoko,73,187,90,33,,"CM, CDM",988000.0,FIFA
Jack Christian Rodwell,67,188,78,32,,"CB, CDM, CM",156000.0,FIFA
Sten Michael Grytebust,67,187,82,33,,GK,52000.0,FIFA
Mathias Jattah-Njie Jørgensen,74,191,85,33,,CB,2028000.0,FIFA
Yuri Berchiche Izeta,79,181,80,33,,LB,1508000.0,FIFA
Jens Grahl,66,192,88,34,,GK,364000.0,FIFA
Francisco Mérida Pérez,74,173,73,33,,"CM, CDM",520000.0,FIFA
Dean James Lyness,62,191,76,31,,GK,28600.0,FIFA
Graham Dylan Burke,66,180,72,29,,"LW, RW",52000.0,FIFA
Erwin Mulder,66,193,88,34,,GK,104000.0,FIFA
Jean-Eric Maxim Choupo-Moting,78,191,90,34,,ST,3120000.0,FIFA
Norman Theuerkauf,69,183,80,36,,"CDM, LB, CB",468000.0,FIFA
Jordan Henderson,80,187,80,33,,"CM, CDM",2028000.0,FIFA
Andreas Bjelland,65,188,85,34,,CB,156000.0,FIFA
Angelo Obinze Ogbonna,76,191,86,35,,CB,1976000.0,FIFA
Maximiliano Nicol Moralez,75,159,54,36,,"CAM, CM, CF",364000.0,FIFA
Ángel Fabián Di María Hernández,83,180,69,35,,"CF, RW, RM",988000.0,FIFA
Pablo Daniel Piatti,72,163,63,34,,LM,572000.0,FIFA
Facundo Sebastián Roncaglia,72,179,77,36,,"CB, RB",468000.0,FIFA
于大宝,65,185,79,35,,"CB, ST",156000.0,FIFA
Martin Hansen,68,188,85,33,,GK,260000.0,FIFA
Toby Albertine Maurits Alderweireld,81,186,81,34,,CB,1924000.0,FIFA
Christian Benteke Liolo,74,190,83,32,,ST,468000.0,FIFA
André de Castro Pereira,73,181,78,35,,"CM, CDM",468000.0,FIFA
Fernando Francisco Reges,82,183,76,35,,"CDM, CB",1300000.0,FIFA
Jo Coppens,64,191,87,32,,GK,156000.0,FIFA
Guillaume François,66,174,72,33,,"RWB, RM, RB",260000.0,FIFA
Anthony Christian Moris,73,186,75,33,,GK,520000.0,FIFA
Marko Arnautović,80,192,83,34,,ST,2288000.0,FIFA
Joachim Thomassen,64,180,78,35,,"LB, LWB",44200.0,FIFA
Lukas Van Eenoo,68,175,67,32,,"CDM, CM",260000.0,FIFA
Lucas David Pratto,70,186,90,35,,"ST, CAM",364000.0,FIFA
Chris Basham,73,190,80,34,,CB,1300000.0,FIFA
Tomáš Pekhart,70,194,82,34,,ST,364000.0,FIFA
고요한 高约翰,62,170,65,35,,"CM, RM, ST",52000.0,FIFA
Leonardo Bonucci,80,190,85,36,,CB,1456000.0,FIFA
Matteo Darmian,80,183,70,33,,"CB, RWB, RM",3848000.0,FIFA
César Azpilicueta Tanco,79,178,77,33,,"RB, CB",2652000.0,FIFA
Adam Nemec,65,192,90,37,,ST,156000.0,FIFA
Ricky van Wolfswinkel,72,185,72,34,,"ST, CAM",520000.0,FIFA
Martin Tony Waikwa Olsson,67,180,78,35,,"LB, CB",104000.0,FIFA
Gylfi Þór Sigurðsson,75,186,77,33,,CAM,624000.0,FIFA
Michael Lang,68,185,79,32,,"CB, RB",312000.0,FIFA
Romain Alessandrini,71,173,79,34,,"ST, RM, CAM",468000.0,FIFA
Tomasz Mateusz Kupisz,63,180,76,33,,"RM, CM",104000.0,FIFA
Michiel Kramer,70,196,80,34,,ST,364000.0,FIFA
Denis Petrić,67,187,80,35,,GK,208000.0,FIFA
Ismaël Traoré,73,184,87,36,,CB,520000.0,FIFA
Sofiane Feghouli,71,176,75,33,,"RM, CM",832000.0,FIFA
신광훈 申光勋,62,178,73,36,,"RB, CDM",44200.0,FIFA
Alexis Alejandro Sánchez Sánchez,81,169,62,34,,ST,4940000.0,FIFA
Maurício José da Silveira Júnior,75,180,78,34,,"CDM, CM, CAM",468000.0,FIFA
José María Callejón Bueno,75,178,73,36,,"LM, ST, RM",728000.0,FIFA
Johnny Russell,72,178,76,33,,"RW, RM",364000.0,FIFA
Maciej Sadlok,63,186,80,34,,"CB, LB",104000.0,FIFA
Péter Gulácsi,84,191,86,33,,GK,3120000.0,FIFA
Vincenzo Fiorillo,68,190,79,33,,GK,468000.0,FIFA
Odion Jude Ighalo,77,185,80,34,,ST,1560000.0,FIFA
Vasco Herculano Salgado Cunha Mango Fernandes,73,182,76,36,,CB,260000.0,FIFA
Ömer Toprak,74,186,83,33,,CB,936000.0,FIFA
Jason Hoffman,60,189,78,34,,"LB, RB",28600.0,FIFA
Denis Odoi,72,178,75,35,,"RB, CDM, CB",572000.0,FIFA
Joshua Christian Kojo King,75,184,82,31,,"ST, CF, LW",1664000.0,FIFA
Ørjan Håskjold Nyland,69,192,90,32,,GK,468000.0,FIFA
Even Hovland,72,191,90,34,,CB,312000.0,FIFA
Ryan Flynn,62,175,60,34,,"CM, CDM",104000.0,FIFA
Oliver Norwood,74,175,69,32,,"CDM, CM",1404000.0,FIFA
Daniel Nii Tackie Mensah Welbeck,76,185,73,32,,ST,3744000.0,FIFA
Wojciech Tomasz Szczęsny,86,195,90,33,,GK,6500000.0,FIFA
Patrick John Miguel van Aanholt,76,176,67,32,,LB,1768000.0,FIFA
汪嵩,61,178,76,39,,"RM, CM, LM",104000.0,FIFA
冯卓毅,60,183,73,34,,"CM, CDM",156000.0,FIFA
Vegar Eggen Hedenstad,68,178,74,32,,"RWB, RB",104000.0,FIFA
Roman Neustädter,70,190,81,35,,"CB, CDM",260000.0,FIFA
Kieran Trippier,85,173,71,32,,RB,7800000.0,FIFA
Leroy Johan Fer,74,188,78,33,,"CDM, CM, CB",676000.0,FIFA
Joel Ward,74,188,83,33,,RB,1560000.0,FIFA
Matt Ritchie,72,172,76,33,,"LM, LB",3016000.0,FIFA
Franco Matías Di Santo,68,193,88,34,,ST,260000.0,FIFA
Sebastián Bruno Fernández Miglierina,69,167,65,38,,"ST, RW, LW",26000.0,FIFA
Arild Østbø,63,183,75,32,,GK,44200.0,FIFA
Bernardo José Espinosa Zúñiga,73,192,85,33,,CB,988000.0,FIFA
Cristhian Ricardo Stuani Curbelo,77,186,76,36,,ST,1144000.0,FIFA
Sven Ulreich,74,192,87,34,,GK,1664000.0,FIFA
Güray Vural,69,177,65,35,,"LB, LWB, LM",364000.0,FIFA
José Aurelio Carvallo Alonso,72,182,82,37,,GK,26000.0,FIFA
Róger Espinoza Ramírez,66,178,82,36,,"CM, CDM",104000.0,FIFA
Raúl Fernández-Cavada Mateos,71,195,92,35,,GK,312000.0,FIFA
Ezequiel Matías Muñoz,69,186,86,32,,CB,364000.0,FIFA
Vitor Hugo Gomes da Silva,69,183,81,35,,"CM, CDM",208000.0,FIFA
Cheikhou Kouyaté,75,189,83,33,,"CDM, CM, CB",2548000.0,FIFA
Jefferson Antonio Montero Vite,66,170,67,33,,"LW, LM, RM",26000.0,FIFA
James Robert Holland,67,182,76,34,,"CDM, CM",260000.0,FIFA
İlkay Gündoğan,86,180,80,32,,"CM, CDM",11440000.0,FIFA
Fabio Daprelà,67,183,79,32,,CB,208000.0,FIFA
顾操,64,183,73,37,,CB,104000.0,FIFA
William Paul Yarbrough Story,69,188,75,34,,GK,156000.0,FIFA
Carlos Augusto Zambrano Ochandarte,74,185,77,33,,CB,52000.0,FIFA
조수혁 赵寿赫,59,188,83,36,,GK,46800.0,FIFA
Rafael Tolói,80,185,75,32,,CB,2652000.0,FIFA
Mauricio Aníbal Isla Isla,74,176,75,35,,RB,468000.0,FIFA
Muris Mešanović,63,177,75,32,,"ST, RM, LM",52000.0,FIFA
Paul-José M'Poku Ebunge,69,180,79,31,,"ST, RW, RM",208000.0,FIFA
Marcus Jonas Munuhe Olsson,66,180,68,35,,LB,52000.0,FIFA
Steven N'Kemboanza Mike Christopher Nzonzi,76,196,89,34,,"CDM, CM",884000.0,FIFA
Matías Ezequiel Suárez,73,183,75,35,,"ST, LW",676000.0,FIFA
Krystian Getinger,67,188,78,34,,"LWB, LM",104000.0,FIFA
Fredrik Gulbrandsen,71,176,74,30,,"ST, LW",312000.0,FIFA
Jonathan Peter McLaughlin,69,188,83,35,,GK,572000.0,FIFA
Adama Valentin Diomande,63,180,75,33,,ST,104000.0,FIFA
Oscar dos Santos Emboaba Júnior,78,179,70,31,,"CM, CAM, LW",1404000.0,FIFA
Leon Aderemi Balogun,71,190,88,35,,"CB, RB",1040000.0,FIFA
Yannick Thoelen,66,188,81,32,,GK,156000.0,FIFA
El Fardou Mohamed Ben Nabouhane,72,174,74,34,,"RW, ST, LW",52000.0,FIFA
Lautaro Germán Acosta,72,169,65,35,,"CAM, RM, LM",468000.0,FIFA
Ante Budimir,77,190,75,31,,ST,1612000.0,FIFA
Mubarak Wakaso,69,171,66,32,,"CM, CDM",312000.0,FIFA
Marco Reus,83,180,71,34,,"CAM, CF",3432000.0,FIFA
Kyle Walker,84,183,83,33,,RB,8060000.0,FIFA
Ryad Boudebouz,73,177,74,33,,"CAM, LM",1404000.0,FIFA
Sylvio Ronny Rodelin,68,193,83,33,,ST,364000.0,FIFA
Thomas Kaminski,73,190,78,30,,GK,1404000.0,FIFA
Carlos Andrés Villanueva Roland,70,173,73,37,,"CAM, CM",104000.0,FIFA
Joren Dom,68,173,71,33,,"RB, RWB, CM",312000.0,FIFA
Abel Mathías Hernández Platero,72,185,73,32,,ST,52000.0,FIFA
Diego Fabián Polenta Musetti,72,185,87,31,,CB,36400.0,FIFA
Volkan Babacan,70,192,86,34,,GK,520000.0,FIFA
Loïc Négo,70,181,71,32,,"RB, RWB",520000.0,FIFA
Vincent Julien Sasso,71,190,85,32,,CB,468000.0,FIFA
Rajiv van La Parra,66,181,75,32,,"LW, RW",156000.0,FIFA
Robert Lewandowski,90,185,81,34,,ST,17680000.0,FIFA
Daniel Pacheco Lobato,65,169,67,32,,"LM, CAM, CF",104000.0,FIFA
Pierre-Emerick Emiliano François Aubameyang,80,187,80,34,,ST,2652000.0,FIFA
Mehdi Abeid,73,178,77,30,,"CDM, CM",988000.0,FIFA
Aaron Meijers,65,176,77,35,,LB,104000.0,FIFA
Taison Barcellos Freda,75,172,75,35,,"CAM, LW",52000.0,FIFA
Nicolas N'Koulou,71,184,78,33,,CB,468000.0,FIFA
Jason Steele,71,188,79,32,,GK,1612000.0,FIFA
Hugo Miguel Almeida Costa Lopes,71,183,83,36,,"CB, RB",260000.0,FIFA
Geoffrey Lembet,65,185,75,34,,GK,416000.0,FIFA
Victor Wanyama,74,188,79,32,,"CDM, CM",416000.0,FIFA
Kevin Trapp,85,189,84,32,,GK,2652000.0,FIFA
Gustavo Leonardo Bou,75,175,72,33,,"ST, LM",520000.0,FIFA
Gonzalo Marinelli,71,180,79,34,,GK,312000.0,FIFA
Johan Mårtensson,63,183,75,34,,CM,49400.0,FIFA
Manuel Lanzini,76,167,59,30,,"CAM, LM",988000.0,FIFA
Marcelo Alejandro Estigarribia Balmori,67,181,71,35,,"LM, CM, RM",26000.0,FIFA
Atdhe Nuhiu,68,197,85,33,,ST,260000.0,FIFA
Michał Buchalik,61,190,83,34,,GK,52000.0,FIFA
Joël Mall,66,197,91,32,,GK,208000.0,FIFA
Francesco Caputo,76,181,77,35,,ST,520000.0,FIFA
Bas Leon Dost,73,196,83,34,,ST,572000.0,FIFA
Eloy Victor Room,72,188,81,34,,GK,416000.0,FIFA
Paul Thomas Hanlon,68,180,78,33,,CB,208000.0,FIFA
Roman Bürki,76,187,85,32,,GK,364000.0,FIFA
Anthony Sauthier,65,185,75,32,,RB,104000.0,FIFA
Giacomo Bonaventura,79,180,75,33,,"CM, CAM",3016000.0,FIFA
Serdar Aziz,73,183,81,32,,CB,1196000.0,FIFA
Sebastian Eriksson,65,184,75,34,,"CDM, CM",52000.0,FIFA
Samuel Souprayen,65,187,77,34,,"CB, LB",156000.0,FIFA
John Fleck,71,170,72,31,,"CM, CDM",1144000.0,FIFA
Andrew Murray Shinnie,65,180,70,33,,"CM, LW, ST",104000.0,FIFA
Jakup Jimmy Durmaz,65,181,69,34,,"CM, CAM, LM",104000.0,FIFA
Ryan Jack,74,182,72,31,,"CM, CDM",2236000.0,FIFA
Bruno Fornaroli Mezza,68,175,68,35,,ST,156000.0,FIFA
Maximiliano Caire,67,178,70,34,,"RB, CB",26000.0,FIFA
Tommi Mikael Vaiho,62,188,78,34,,GK,52000.0,FIFA
José Salomón Rondón Giménez,73,189,90,33,,ST,884000.0,FIFA
Francis Coquelin,80,176,74,32,,"CM, LM, RM",2028000.0,FIFA
Ashley Westwood,72,175,73,33,,"CDM, CM",312000.0,FIFA
Etrit Berisha,71,194,92,34,,GK,312000.0,FIFA
Nélson Miguel Castro Oliveira,73,185,82,31,,ST,884000.0,FIFA
Tom Hateley,66,180,84,33,,"CDM, CM",156000.0,FIFA
Christopher Rasmus Nilsson Telo,63,172,72,33,,"LB, LWB",52000.0,FIFA
Jordi Alba Ramos,83,170,68,34,,LB,728000.0,FIFA
Carlo Pinsoglio,72,194,85,33,,GK,2184000.0,FIFA
Maic Ndongala Namputu Sema,64,173,65,34,,"CF, RW",104000.0,FIFA
Mads Winther Albæk,65,182,77,33,,"CM, CDM",208000.0,FIFA
Artur Adam Sobiech,65,185,75,33,,ST,156000.0,FIFA
Damián Rodrigo Díaz,75,174,67,37,,"CAM, CF",49400.0,FIFA
Aridane Hernández Umpiérrez,76,188,79,34,,CB,936000.0,FIFA
Pedro Eliezer Rodríguez Ledesma,79,169,65,35,,"RW, LW",2288000.0,FIFA
Víctor Vázquez Solsona,66,175,75,36,,"CAM, CM",104000.0,FIFA
Thiago Alcântara do Nascimento,84,174,70,32,,CM,7800000.0,FIFA
Sergio Busquets i Burgos,83,189,76,34,,CDM,728000.0,FIFA
Daniel Parejo Muñoz,86,182,74,34,,"CM, CDM",3328000.0,FIFA
Harrison Afful,65,170,67,37,,"RB, LB",52000.0,FIFA
Simen Søraunet Wangberg,63,188,85,32,,CB,46800.0,FIFA
Dylan Gissi,66,192,83,32,,CB,208000.0,FIFA
Bengali-Fodé Koita,69,186,86,32,,"ST, RW",1196000.0,FIFA
Iker Muniain Goñi,81,170,66,30,,"CAM, LM",1872000.0,FIFA
Thomas Müller,84,185,76,33,,"CAM, CF, ST",4680000.0,FIFA
Aaron Cresswell,77,175,66,33,,"LB, CB",2912000.0,FIFA
Ben Mee,79,180,82,33,,CB,2912000.0,FIFA
Vicente Guaita Panadero,78,190,80,36,,GK,676000.0,FIFA
David Ball,63,183,75,33,,"RW, ST, CAM",52000.0,FIFA
Kevin Strootman,73,186,78,33,,"CM, CDM",1040000.0,FIFA
Marko Vejinović,68,186,78,33,,"CM, CDM",208000.0,FIFA
Aleksandar Prijović,68,191,88,33,,ST,104000.0,FIFA
Marley Joseph Watkins,64,178,65,32,,"ST, LW, RM",104000.0,FIFA
Luuk de Jong,79,189,86,32,,ST,1248000.0,FIFA
Nicolás Ignacio Crovetto Aqueveque,65,174,72,37,,LB,36400.0,FIFA
Francisco Femenía Far,74,174,61,32,,"RB, RWB",1248000.0,FIFA
Chris Smalling,84,194,81,33,,CB,4576000.0,FIFA
Łukasz Skorupski,77,187,84,32,,GK,1248000.0,FIFA
Curtis Lee Main,65,178,67,31,,ST,44200.0,FIFA
Lamine Gassama,66,180,82,33,,RB,156000.0,FIFA
Steven Zuber,76,182,83,31,,"ST, LM",52000.0,FIFA
Steven Deana,61,190,85,33,,GK,52000.0,FIFA
